Q2,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q10_1,Q10_2,Q10_3
Have you ever camped at a festival?,"In the following situation, imagine you are staying in a rented tent at a festival. You are staying in a tent that is in perfect condition and has been perfectly cleaned. How does the knowledge that the tent has been used a number of times before you affect your experience of using the tent at the festival? A specific number of previous uses is specified below. Answer from 0 - 100 with 0 being awful and 100 being excellent. - The tent was brand new.","In the following situation, imagine you are staying in a rented tent at a festival. You are staying in a tent that is in perfect condition and has been perfectly cleaned. How does the knowledge that the tent has been used a number of times before you affect your experience of using the tent at the festival? A specific number of previous uses is specified below. Answer from 0 - 100 with 0 being awful and 100 being excellent. - The tent had been used at 1 festival.","In the following situation, imagine you are staying in a rented tent at a festival. You are staying in a tent that is in perfect condition and has been perfectly cleaned. How does the knowledge that the tent has been used a number of times before you affect your experience of using the tent at the festival? A specific number of previous uses is specified below. Answer from 0 - 100 with 0 being awful and 100 being excellent. - The tent had been used at 5 festivals.","In the following situation, imagine you are staying in a rented tent at a festival. You are staying in a tent that is in perfect condition and has been perfectly cleaned. How does the knowledge that the tent has been used a number of times before you affect your experience of using the tent at the festival? A specific number of previous uses is specified below. Answer from 0 - 100 with 0 being awful and 100 being excellent. - The tent had been used at 10 festivals.","In the following situation, imagine you are staying in a rented tent at a festival. You are staying in a tent that is in perfect condition and has been perfectly cleaned. How does the knowledge that the tent has been used a number of times before you affect your experience of using the tent at the festival? A specific number of previous uses is specified below. Answer from 0 - 100 with 0 being awful and 100 being excellent. - The tent had been used at 20 festivals.","In the following situation, imagine you are staying in a rented tent at a festival. You are staying in a tent that is in perfect condition and has been perfectly cleaned. How does the knowledge that the tent has been used a number of times before you affect your experience of using the tent at the festival? A specific number of previous uses is specified below. Answer from 0 - 100 with 0 being awful and 100 being excellent. - The tent had been used at 50 festivals.","In the following situation, imagine you are staying in a rented tent at a festival. You are staying in a tent that is in perfect condition and has been perfectly cleaned. How does the knowledge that the tent has been used a number of times before you affect your experience of using the tent at the festival? A specific number of previous uses is specified below. Answer from 0 - 100 with 0 being awful and 100 being excellent. - The tent had been used at 100 festivals.",Imagine you are again staying at a festival in a rented tent. It has been used before and has been left with dirt inside. Please give an indication of the experience of staying in the following tents after the following cleaning actions have been taken: - A tent that is in the same state as it was at the end of the previous users use.,Imagine you are again staying at a festival in a rented tent. It has been used before and has been left with dirt inside. Please give an indication of the experience of staying in the following tents after the following cleaning actions have been taken: - A tent that has been swept out.,Imagine you are again staying at a festival in a rented tent. It has been used before and has been left with dirt inside. Please give an indication of the experience of staying in the following tents after the following cleaning actions have been taken: - A tent that has been hosed down.,Imagine you are again staying at a festival in a rented tent. It has been used before and has been left with dirt inside. Please give an indication of the experience of staying in the following tents after the following cleaning actions have been taken: - A tent that has been washed using commercial washing equipment.,Imagine you are again staying at a festival in a rented tent. It has been used before and has been left with dirt inside. Please give an indication of the experience of staying in the following tents after the following cleaning actions have been taken: - A tent that has been disinfected.,Imagine you are again staying at a festival in a rented tent. It has been used before and has been left with stains inside. Please give an indication of the experience of staying in the following tents after the following cleaning actions have been taken: - A tent that is in the same state as it was at the end of the previous users use.,Imagine you are again staying at a festival in a rented tent. It has been used before and has been left with stains inside. Please give an indication of the experience of staying in the following tents after the following cleaning actions have been taken: - A tent that has been swept out.,Imagine you are again staying at a festival in a rented tent. It has been used before and has been left with stains inside. Please give an indication of the experience of staying in the following tents after the following cleaning actions have been taken: - A tent that has been hosed down.,Imagine you are again staying at a festival in a rented tent. It has been used before and has been left with stains inside. Please give an indication of the experience of staying in the following tents after the following cleaning actions have been taken: - A tent that has been washed using commercial washing equipment.,Imagine you are again staying at a festival in a rented tent. It has been used before and has been left with stains inside. Please give an indication of the experience of staying in the following tents after the following cleaning actions have been taken: - A tent that has been disinfected.,Imagine you are again staying at a festival in a rented tent. It has been used before and has been left with bad odours. Please give an indication of the experience of staying in the following tents after the following cleaning actions have been taken: - A tent that is in the same state as it was at the end of the previous users use.,Imagine you are again staying at a festival in a rented tent. It has been used before and has been left with bad odours. Please give an indication of the experience of staying in the following tents after the following cleaning actions have been taken: - A tent that has been swept out.,Imagine you are again staying at a festival in a rented tent. It has been used before and has been left with bad odours. Please give an indication of the experience of staying in the following tents after the following cleaning actions have been taken: - A tent that has been hosed down.,Imagine you are again staying at a festival in a rented tent. It has been used before and has been left with bad odours. Please give an indication of the experience of staying in the following tents after the following cleaning actions have been taken: - A tent that has been washed using commercial washing equipment.,Imagine you are again staying at a festival in a rented tent. It has been used before and has been left with bad odours. Please give an indication of the experience of staying in the following tents after the following cleaning actions have been taken: - A tent that has been disinfected.,Imagine you are again staying at a festival in a rented tent. You do not know the state the tent was in before it was cleaned. Please give an indication of the experience of staying in the following tents: - The tent has not been cleaned.,Imagine you are again staying at a festival in a rented tent. You do not know the state the tent was in before it was cleaned. Please give an indication of the experience of staying in the following tents: - A tent that has been swept out.,Imagine you are again staying at a festival in a rented tent. You do not know the state the tent was in before it was cleaned. Please give an indication of the experience of staying in the following tents: - A tent that has been hosed down.,Imagine you are again staying at a festival in a rented tent. You do not know the state the tent was in before it was cleaned. Please give an indication of the experience of staying in the following tents: - A tent that has been washed using commercial washing equipment.,Imagine you are again staying at a festival in a rented tent. You do not know the state the tent was in before it was cleaned. Please give an indication of the experience of staying in the following tents: - A tent that has been disinfected.,"Imagine you are staying in a rented tent at a festival, how much would the following defects in the tent affect your experience? Please rate your experience from 0 - 100 with 0 being awful and 100 being excellent. - A tent with a broken zip","Imagine you are staying in a rented tent at a festival, how much would the following defects in the tent affect your experience? Please rate your experience from 0 - 100 with 0 being awful and 100 being excellent. - A tent with a small hole in the material.","Imagine you are staying in a rented tent at a festival, how much would the following defects in the tent affect your experience? Please rate your experience from 0 - 100 with 0 being awful and 100 being excellent. - A tent with faded material."
"{""ImportId"":""QID2""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID9_4""}","{""ImportId"":""QID9_5""}","{""ImportId"":""QID9_6""}","{""ImportId"":""QID9_7""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID14_4""}","{""ImportId"":""QID14_5""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_3""}","{""ImportId"":""QID16_4""}","{""ImportId"":""QID16_5""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID13_5""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}"
No,100,100,100,100,100,80,60,0,10,20,70,100,30,30,40,80,80,,,,,,0,0,10,70,90,10,20,90
Yes,70,70,60,30,30,20,20,1,1,10,60,75,40,55,65,72,85,11,14,15,14,40,6,9,18,22,27,72,72,100
Yes,100,100,100,100,100,100,100,0,7,15,31,52,15,17,20,40,65,6,10,14,26,41,6,14,14,18,33,0,29,58
Yes,100,95,95,95,90,95,95,15,20,25,40,75,10,10,15,35,75,5,5,5,30,70,10,15,20,50,75,5,20,70
No,100,100,100,100,100,90,80,0,30,40,90,100,0,40,70,90,100,0,20,40,90,100,0,50,60,90,100,20,40,0
Yes,100,100,100,68,36,16,0,0,20,20,95,100,1,28,28,70,100,0,0,0,0,0,0,13,29,70,100,20,100,100
Yes,100,100,100,100,100,100,100,,,,20,30,,,,20,30,,,,,,,,,70,100,20,85,98
Yes,51,50,50,50,50,50,50,1,32,37,76,100,3,0,0,43,47,0,0,6,0,0,0,10,38,59,79,12,13,52
Yes,0,23,59,100,100,100,100,80,80,100,100,100,41,40,41,100,100,28,33,100,100,100,32,50,70,100,100,100,100,100
No,100,71,23,,,,,0,0,,61,87,,,,,,,,,,,0,,,23,40,100,51,
No,100,100,100,100,100,100,100,,10,20,50,60,,,,,,,,,,,,,20,60,70,75,75,100
Yes,100,95,50,20,30,40,40,15,25,35,60,75,6,11,13,22,35,5,9,5,7,11,4,13,22,39,71,10,30,79
No,100,100,100,100,100,100,100,24,32,36,46,67,1,4,5,37,59,10,12,18,44,67,10,13,21,47,68,56,67,98
Yes,100,98,96,93,92,89,87,28,60,80,93,100,25,52,87,92,100,19,37,71,82,100,26,43,71,95,100,20,77,100
No,100,81,80,80,80,80,80,18,30,39,70,80,8,14,16,42,70,11,10,11,31,69,7,8,13,30,67,20,11,50
Yes,100,90,70,60,30,10,0,0,10,40,70,100,0,10,30,70,80,0,0,10,30,50,0,10,20,80,100,40,20,10
Yes,100,87,22,6,2,1,,59,52,74,38,83,69,48,49,64,86,51,59,67,74,93,18,57,74,81,91,15,9,55
Yes,100,100,100,100,100,100,100,30,65,70,80,85,25,40,65,70,80,10,15,20,40,50,20,40,60,70,80,85,75,100
No,100,90,90,100,100,100,100,40,50,60,65,65,40,50,50,65,70,25,28,37,51,55,40,61,62,75,86,75,75,95
Yes,100,96,83,83,81,69,63,14,45,84,95,98,23,30,59,62,76,13,18,25,34,39,25,46,61,71,80,64,34,24
Yes,100,100,100,100,100,100,100,,,20,50,80,,,,20,40,,,,10,10,,,11,30,40,50,90,100
Yes,76,85,92,84,72,69,81,40,52,79,100,100,4,10,21,88,93,0,0,3,87,95,10,15,26,90,94,10,9,0
No,50,50,50,50,50,50,50,18,35,50,50,32,30,42,57,59,29,4,11,17,15,21,48,48,48,47,33,51,55,77
No,100,92,82,61,41,31,21,6,17,27,47,65,36,50,68,79,90,7,26,48,63,79,19,31,43,74,92,33,84,59
Yes,100,100,100,100,100,100,100,,2,20,51,51,,4,9,50,50,,2,9,43,44,,2,21,60,80,61,48,100
Yes,100,100,95,95,90,80,70,5,13,39,85,100,5,10,20,30,49,5,8,15,19,40,15,20,30,60,85,40,41,100
Yes,100,100,100,100,98,92,83,41,53,100,100,100,66,66,79,100,100,27,34,44,58,65,24,33,90,100,100,0,0,90
Yes,100,84,52,50,23,10,0,9,15,27,69,90,6,15,21,37,60,0,0,4,16,29,15,33,48,55,77,75,38,80
Yes,100,98,98,98,98,98,98,1,3,5,8,10,0,2,5,8,10,0,0,0,0,2,0,2,3,3,4,0,70,94
